PM 1.0, PM 2.5, PM4.0, PM10.0, Temperature, Humiditiy, VOC, NOx, CO2
3.0000,3.5000,3.8000,3.9000,46.0400,26.4200,95.0000,1.0000,1364.0000,7/17/2025 15:59:47 ,DONE 
3.4000,3.9000,4.2000,4.4000,46.0700,26.4000,95.0000,1.0000,1366.0000,7/17/2025 15:59:51 ,DONE 
3.4000,3.9000,4.2000,4.4000,46.0800,26.3900,95.0000,1.0000,1366.0000,7/17/2025 15:59:54 ,DONE 
3.6000,4.1000,4.5000,4.7000,46.0700,26.3800,96.0000,1.0000,1366.0000,7/17/2025 15:59:58 ,DONE 
3.5000,4.1000,4.5000,4.7000,46.1200,26.3100,96.0000,1.0000,1367.0000,7/17/2025 16:0:20 ,DONE 
3.5000,4.1000,4.5000,4.7000,46.1500,26.2950,96.0000,1.0000,1366.0000,7/17/2025 16:0:23 ,DONE 
3.4000,4.0000,4.3000,4.5000,46.2000,26.2800,96.0000,1.0000,1366.0000,7/17/2025 16:0:27 ,DONE 
3.4000,4.0000,4.3000,4.5000,46.2600,26.2700,96.0000,1.0000,1367.0000,7/17/2025 16:0:30 ,DONE 
3.3000,3.9000,4.2000,4.4000,46.3200,26.2600,96.0000,1.0000,1367.0000,7/17/2025 16:0:34 ,DONE 
3.3000,3.9000,4.2000,4.4000,46.3500,26.2500,97.0000,1.0000,1367.0000,7/17/2025 16:0:37 ,DONE 
3.3000,3.9000,4.2000,4.4000,46.4000,26.2450,96.0000,1.0000,1367.0000,7/17/2025 16:0:41 ,DONE 
3.3000,3.9000,4.2000,4.4000,46.4400,26.2450,97.0000,1.0000,1369.0000,7/17/2025 16:0:44 ,DONE 
3.4000,4.0000,4.3000,4.5000,46.5000,26.2500,97.0000,1.0000,1369.0000,7/17/2025 16:0:48 ,DONE 
3.4000,4.0000,4.3000,4.5000,46.5400,26.2550,97.0000,1.0000,1370.0000,7/17/2025 16:0:51 ,DONE 
3.4000,4.0000,4.3000,4.5000,46.5600,26.2600,97.0000,1.0000,1371.0000,7/17/2025 16:0:55 ,DONE 
3.4000,4.0000,4.3000,4.5000,46.5800,26.2650,97.0000,1.0000,1372.0000,7/17/2025 16:0:58 ,DONE 
3.5000,4.1000,4.5000,4.6000,46.5800,26.3100,98.0000,1.0000,1371.0000,7/17/2025 16:1:20 ,DONE 
